gene,mean_expr_CKD,mean_expr_Ref,diff_mean_log_expr,direction,cohen_d,t_stat,p_value,adj_p_value,f_classif_score,f_classif_p_value,statistical_rank_score
A1BG,0.08235702564947024,0.08023693551463723,0.002120090134833011,up_in_CKD,0.0656467366539688,0.1952084671780791,0.8465766583363644,0.9057243233642409,0.03525949663621799,0.8522766563318905,5.985163348208102e-06
A1BG-AS1,0.007559545970890174,0.006058239708151206,0.0015013062627389677,up_in_CKD,0.28812966330165224,0.841243959433377,0.40666121090318935,0.5708803159110343,0.6792439326081012,0.41614349816530877,0.00010531151095549773
A1CF,0.05359458277037413,0.06374595719635384,-0.010151374425979715,down_in_CKD,-0.20644794391792748,-0.5892007774091845,0.5601875279115339,0.6983273087165928,0.34871525630132494,0.55912211620353,0.0003268102367322182
A2M,0.24253238130047847,0.4009928002114917,-0.15846041891101323,down_in_CKD,-1.2321364413238676,-3.5257716151789986,0.0013798802478159798,0.03446907043944365,12.421310809403817,0.0013422673041280765,0.2855593536439725
A2M-AS1,0.010204975308141833,0.006222285904916716,0.003982689403225117,up_in_CKD,0.8512889354970592,2.3624970905477922,0.026313561039157024,0.1676600935088832,5.929305150270405,0.020840908964937458,0.002629508594922113
A4GALT,0.10284272224899073,0.0852776108441368,0.017565111404853923,up_in_CKD,0.5557072387370239,1.50233229505595,0.14883821683292792,0.3990950461560892,2.526631651511408,0.12208708912553883,0.0038939176326742704
AAAS,0.0990128479379729,0.0892829419114127,0.009729906026560195,up_in_CKD,0.45037208310085913,1.2509865632683124,0.22253206776418977,0.4338769598655249,1.6595591992086043,0.2071956491594744,0.0015890879114028018
AACS,0.04540760902790145,0.05281509591713347,-0.007407486889232026,down_in_CKD,-0.543641096436463,-1.5268960137531513,0.13837154305442487,0.3858654680389182,2.418100705101598,0.13009149469620918,0.0016654284846070423
AADAT,0.01595670212757266,0.014242872052597638,0.0017138300749750222,up_in_CKD,0.24312271960135612,0.7071974334279638,0.48472680646101646,0.6383659277026552,0.4836162827974879,0.4919694357430181,8.122180912857663e-05
AAED1,0.06142888400151822,0.09737784843845909,-0.03594896443694087,down_in_CKD,-1.096943101784857,-3.086063167153873,0.00460032068447813,0.06557814749299137,9.845052288164046,0.0037190292892834843,0.046659882701546376
