gene,original_gene_index
SAMD13,17168
SATB2,17207
SCAND1,17235
SEC14L1,17338
SEL1L3,17371
SEMA3B-AS1,17391
SEMA4D,17401
SEPT4,17433
SERTAD1,17477
SERTAD3,17479
SESN3,17485
SESTD1,17486
SGK1,17547
SGO1,17553
SH3BGR,17575
SH3BP4,17581
SH3BP5,17582
SH3RF3,17597
SH3RF3-AS1,17598
SIK2,17662
SKP2,17706
SLC12A8,17732
SLC25A25,17829
SLC25A33,17839
SLC25A4,17847
SLC2A4,17893
SLC31A2,17909
SLC35F5,17934
SLC38A9,17955
SLC3A2,17970
SLC41A2,17973
SLC45A1,17983
SLC45A4,17986
SLC6A20,18030
SLC7A10,18037
SLFN13,18081
SLITRK2,18090
SMIM4,18185
SMTN,18207
SNAP91,18228
SNCG,18237
SOCS2,18320
SPATA2,18400
SPATA6L,18414
SPIN3,18457
SPRY4,18500
SPSB1,18505
SSBP3,18593
STARD8,18671
STAT1,18673
STK32A,18709
STK36,18715
STK38,18716
STK40,18721
STX7,18777
SYNM,18894
SYT16,18912
SYT8,18919
TAL1,18974
TBC1D1,19012
TBL1XR1,19060
TBXA2R,19078
TCEAL2,19089
TFAP2E,19225
TFAP4,19226
TGM7,19264
TIMP3,19357
TIPARP,19363
TLR1,19393
TLR7,19398
TMEM132C,19483
TMEM139,19490
TMEM144,19494
TMEM159,19509
TMEM204,19561
TMEM63A,19658
TMEM88,19679
TNFAIP8,19735
TNFRSF11A,19743
TNFRSF11B,19744
TNFSF10,19760
TNIK,19771
TNNC1,19783
TOB1,19806
TOB2,19807
TP53,19845
TP53INP1,19851
TP53INP2,19852
TPBG,19859
TPST2,19894
TRDMT1,19965
TRIM27,20007
TRIM59,20032
TSC22D3,20120
TSPAN1,20142
TSPYL2,20169
TTC30B,20205
TUBB2A,20265
UAP1,20349
UBALD1,20362
UBE2B,20374
UBXN11,20444
UHRF1,20490
UNC5CL,20518
UNC79,20520
USP2,20584
USP36,20603
VCAM1,20680
VPS37B,20750
VWDE,20801
WASF1,20810
WBP11,20824
WDR19,20844
WDR5B,20873
WFDC1,20908
WFDC2,20911
WNT7A,20947
XRCC4,21010
YDJC,21030
YPEL2,21051
YRDC,21055
ZBTB10,21115
ZBTB16,21120
ZDHHC2,21210
ZFAND5,21232
ZFP36,21246
ZFP64,21253
ZFR2,21264
ZNF300,21430
ZNF331,21446
ZNF503-AS1,21553
ZNF593,21626
ZNF608,21637
ZNF672,21679
ZNRF2,21821
AC097634.1,21951
TLR6,21965
RPA4,22050
FAM53B,22107
SERPINA4,22153
SPN,22189
FLCN,22206
ZNF799,22253
PCDHA9,22345
