gene,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score
MESP1,0.8142857142857144,0.825,0.9444444444444444,0.32499999999999996
AGPS,0.8238095238095238,0.825,0.9027777777777779,0.32499999999999996
SLC7A10,0.8190476190476191,0.8249999999999998,0.8166666666666667,0.32499999999999984
EIF4H,0.8190476190476191,0.8249999999999998,0.9222222222222222,0.32499999999999984
AVPI1,0.819047619047619,0.8166666666666667,0.8777777777777779,0.31666666666666665
B3GALT5,0.8142857142857144,0.8166666666666667,0.8527777777777776,0.31666666666666665
BEX5,0.8238095238095238,0.8166666666666667,0.8277777777777778,0.31666666666666665
MAP2K3,0.8285714285714285,0.8166666666666667,0.9166666666666667,0.31666666666666665
TMEM144,0.819047619047619,0.8166666666666667,0.8416666666666666,0.31666666666666665
CMTM8,0.8238095238095238,0.8166666666666667,0.8055555555555556,0.31666666666666665
KCNA5,0.819047619047619,0.8166666666666667,0.9277777777777778,0.31666666666666665
NDEL1,0.819047619047619,0.8166666666666667,0.85,0.31666666666666665
GALNT1,0.819047619047619,0.8166666666666667,0.925,0.31666666666666665
TNFRSF11B,0.8095238095238095,0.8166666666666667,0.9,0.31666666666666665
ZNRF2,0.8142857142857143,0.8166666666666667,0.8638888888888889,0.31666666666666665
GNG7,0.8142857142857143,0.8166666666666667,0.9277777777777778,0.31666666666666665
SEC14L1,0.8142857142857143,0.8166666666666667,0.8833333333333334,0.31666666666666665
RLN2,0.8142857142857143,0.8166666666666667,0.8444444444444444,0.31666666666666665
EFCAB12,0.8142857142857143,0.8166666666666667,0.8388888888888889,0.31666666666666665
MMP7,0.8142857142857143,0.8166666666666667,0.8555555555555555,0.31666666666666665
MST1R,0.8190476190476191,0.8166666666666667,0.75,0.31666666666666665
MSMP,0.8238095238095238,0.8166666666666667,0.8,0.31666666666666665
RPS20,0.8238095238095238,0.8166666666666667,0.775,0.31666666666666665
STK32A,0.8285714285714285,0.8166666666666667,0.8833333333333332,0.31666666666666665
MAP3K6,0.819047619047619,0.8166666666666667,0.9333333333333333,0.31666666666666665
GSTCD,0.819047619047619,0.8166666666666667,0.8166666666666668,0.31666666666666665
HES4,0.819047619047619,0.8166666666666667,0.8694444444444445,0.31666666666666665
CEPT1,0.8238095238095238,0.8166666666666667,0.9333333333333332,0.31666666666666665
SNCG,0.819047619047619,0.8166666666666667,0.7833333333333334,0.31666666666666665
PIGH,0.8238095238095238,0.8166666666666667,0.8833333333333332,0.31666666666666665
PPIF,0.819047619047619,0.8166666666666667,0.9166666666666666,0.31666666666666665
PRKACB,0.8238095238095238,0.8166666666666667,0.9,0.31666666666666665
PPTC7,0.8142857142857144,0.8166666666666667,0.9055555555555556,0.31666666666666665
MDM4,0.8142857142857144,0.8166666666666667,0.9,0.31666666666666665
