cell_class,gene,diff_mean_log_expr,direction,cohen_d,adj_p_value,rank_score,pct_expr_case,pct_expr_control,random_forest_importance,knn_permutation_importance_mean,knn_permutation_importance_std,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score,traditional_score_scaled,rf_score_scaled,knn_score_scaled,combined_ml_biomarker_score
immune cells,PCDH9,0.02662646405587942,up_in_CKD,1.8868015169763757,0.07947811565244334,0.0,0.015852239674229204,0.0006788866259334691,0.020353632867212437,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.5951200832470898,1.0,0.638048033298836
immune cells,C9orf139,0.016164916478018116,up_in_CKD,1.9553563439923296,0.07018972353081028,0.0,0.007853403141361256,0.0,0.018240913031432375,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.5333462459793152,1.0,0.6133384983917262
immune cells,GATA2,0.021083950181812413,up_in_CKD,1.5009557786092762,0.19813633760029864,0.0,0.011052937754508435,0.0006788866259334691,0.016673620380705387,0.0,0.0,0.9666666666666666,0.9666666666666666,0.9777777777777779,0.46666666666666656,0.0,0.4875201598521687,0.9230769230769228,0.5642388331716366
immune cells,TLR7,0.054401594448969234,up_in_CKD,2.323782367104982,0.0077285331353745546,0.2669814162732502,0.037667248400232695,0.0033944331296673455,0.010891027605719283,0.0,0.0,0.9428571428571428,0.9416666666666667,0.975,0.44166666666666665,0.006126973131699906,0.3184428695185407,0.8653846153846153,0.4747563885876024
immune cells,IL21R,0.029907602666358266,up_in_CKD,2.9815829882224825,0.001995752869447295,0.0,0.019488074461896453,0.002036659877800407,0.008112820512820512,0.0,0.0,0.9714285714285715,0.9666666666666666,0.9666666666666666,0.46666666666666656,0.0,0.2372108434134137,0.9230769230769228,0.46411510659613464
immune cells,CD180,0.06433962120786428,up_in_CKD,2.6667702889233014,0.0077285331353745546,0.36235817164957546,0.04508435136707388,0.0033944331296673455,0.0071078260869565195,0.0,0.0,0.9714285714285715,0.9666666666666666,0.9666666666666666,0.46666666666666656,0.008315780224480353,0.20782580093549302,0.9230769230769228,0.45402424564986243
immune cells,FAT1,0.03262611088002094,up_in_CKD,1.6986003911236356,0.1222790223183449,0.0,0.02181500872600349,0.004073319755600814,0.010867708333333332,0.0,0.0,0.9380952380952381,0.9166666666666666,0.95,0.41666666666666663,0.0,0.31776103707053854,0.8076923076923076,0.4501813379051385
immune cells,FLRT3,0.017405332859513782,up_in_CKD,1.9539174692365042,0.06251599907121999,0.0,0.013234438627108784,0.0013577732518669382,0.009759942508084797,0.0,0.0,0.8761904761904763,0.875,0.9555555555555555,0.375,0.0,0.28537106057635814,0.7115384615384616,0.39876380884592794
immune cells,FGFR3,0.008535022028737889,up_in_CKD,2.0222843859304422,0.057650619381507694,0.0,0.007417102966841187,0.0,0.0029999999999999996,0.0,0.0,0.9428571428571428,0.9333333333333332,0.9333333333333332,0.43333333333333324,0.0,0.0877170312243028,0.8461538461538459,0.3735483509512595
immune cells,AP5S1,0.013490549550030196,up_in_CKD,1.5647715229292947,0.02299911648830646,0.0,0.014397905759162303,0.008825526137135099,0.004104227802336538,0.0,0.0,0.9095238095238095,0.9166666666666666,0.9416666666666668,0.41666666666666663,0.0,0.12000355942973526,0.8076923076923076,0.37107834684881713
immune cells,FAM111B,0.008036591613096574,up_in_CKD,1.436172882620118,0.22221680580173614,0.0,0.003926701570680628,0.0,0.005999999999999998,0.0,0.0,0.9047619047619048,0.8833333333333332,0.9333333333333332,0.3833333333333332,0.0,0.17543406244860557,0.7307692307692305,0.36248131728713445
immune cells,THRB,0.01145457876932272,up_in_CKD,1.69496504342215,0.09259161611509237,0.0,0.009307737056428156,0.002036659877800407,0.003866873065015481,0.0,0.0,0.9095238095238095,0.9083333333333332,0.9416666666666667,0.4083333333333332,0.0,0.11306354179479282,0.7884615384615382,0.36061003210253245
immune cells,MCU,0.015535206659787805,up_in_CKD,2.2614537664577474,0.00042487491541062637,0.0,0.013670738801628854,0.005431093007467753,0.0032909542017325825,0.0,0.0,0.9095238095238095,0.9083333333333332,0.9583333333333333,0.4083333333333332,0.0,0.09622424415704248,0.7884615384615382,0.35387431304743233
