cell_class,model,metric,mean,std,fold_values
stroma cells,RandomForest,accuracy,1.0,0.0,1.0000;1.0000;1.0000;1.0000;1.0000
stroma cells,RandomForest,balanced_accuracy,1.0,0.0,1.0000;1.0000;1.0000;1.0000;1.0000
stroma cells,RandomForest,f1,1.0,0.0,1.0000;1.0000;1.0000;1.0000;1.0000
stroma cells,RandomForest,roc_auc,1.0,0.0,1.0000;1.0000;1.0000;1.0000;1.0000
stroma cells,KNN,accuracy,1.0,0.0,1.0000;1.0000;1.0000;1.0000;1.0000
stroma cells,KNN,balanced_accuracy,1.0,0.0,1.0000;1.0000;1.0000;1.0000;1.0000
stroma cells,KNN,f1,1.0,0.0,1.0000;1.0000;1.0000;1.0000;1.0000
stroma cells,KNN,roc_auc,1.0,0.0,1.0000;1.0000;1.0000;1.0000;1.0000
