cell_class,gene,rank_score,adj_p_value,diff_mean_log_expr,cohen_d,pct_expr_case,pct_expr_control,traditional_rank,combined_ml_biomarker_score,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,ml_rank,random_forest_importance,rf_rank,traditional_score_scaled,ml_score_scaled,rf_score_scaled,consensus_score,mean_rank
stroma cells,NEDD4L,0.26129525501833634,0.008504026675094941,0.06578980788367374,1.9183321668806288,0.07383040935672515,0.039301310043668124,26,0.4883266843817646,0.9333333333333332,0.9444444444444444,1,0.015136773556903833,20,0.0448230404025785,1.0,1.0,0.6816076801341927,15.666666666666666
stroma cells,NR2F2,4.020943097088743,0.004189874266242134,0.748433681774852,2.2594329687624364,0.7536549707602339,0.5353711790393013,1,0.3068464848052527,0.85,0.875,14,0.0002221653559349664,193,1.0,0.5652896891122933,0.014677193597418751,0.526655627569904,69.33333333333333
stroma cells,C4orf48,0.5893513219528277,0.029756729417817148,0.18492225339274476,2.0879135638781268,0.1695906432748538,0.05589519650655022,14,0.4139754708036927,0.9083333333333332,0.9,2,0.009043778836638677,32,0.12816903709024047,0.821902118000618,0.5974707095036009,0.5158472881981532,16.0
stroma cells,RUNX1T1,0.9673123106480938,0.0084860445565171,0.19584133560791417,2.384627018559714,0.20029239766081872,0.09606986899563319,4,0.3398346572484913,0.825,0.9333333333333332,8,0.007984094568827042,36,0.22419388920233863,0.6443082196841184,0.5274634345828291,0.4653218478230954,16.0
stroma cells,PROM1,0.27806307050055845,0.011042045243408235,0.06374743315663192,2.228952308708019,0.06652046783625731,0.013100436681222707,23,0.38509448445480354,0.8833333333333332,0.9416666666666667,4,0.008291338999976678,35,0.04908307530057562,0.7527217744492759,0.5477613157656722,0.4498553885051746,20.666666666666668
stroma cells,EPS8L2,0.34915127892645237,0.013710356165859113,0.08025676989313549,2.3352343333312326,0.08698830409356725,0.027074235807860263,17,0.30591423250552124,0.7666666666666666,0.8444444444444444,15,0.009773660555443665,29,0.06714376120515762,0.5630566097571476,0.6456898174965384,0.4252967294862812,20.333333333333332
stroma cells,CDH6,2.1736615840571667,0.0008827325838993725,0.29688504769243185,2.3972331680685257,0.31432748538011696,0.16681222707423582,2,0.26747753304179506,0.7833333333333332,0.888888888888889,42,0.0029624453551912564,66,0.5306792515528952,0.47098689850289394,0.1957118103177341,0.39912598679117445,36.666666666666664
stroma cells,SOX4,1.9157414969226003,0.0022736537881912376,0.29090064228234785,2.491436190786778,0.3216374269005848,0.1537117903930131,3,0.317955206482511,0.8583333333333332,0.9416666666666667,11,0.0021051249965828075,89,0.465152017355176,0.5918990705497985,0.13907356073399585,0.3987082162129901,34.333333333333336
stroma cells,FLRT3,0.26996888224124443,0.004768000708196656,0.04472736220704816,2.5998070253081726,0.04239766081871345,0.005240174672489083,25,0.27400091974754487,0.7833333333333332,0.9,35,0.004936078952896097,45,0.04702666404699313,0.48661275448891667,0.32609848686312465,0.2865793017996781,35.0
stroma cells,MUC1,0.7624642131762019,0.0035819348550094575,0.1354502885604072,2.3014628701691526,0.13523391812865498,0.07074235807860262,8,0.2771289521413683,0.8083333333333332,0.9333333333333333,33,0.0027843368685467112,71,0.1721501363984148,0.49410551644068273,0.18394520193352462,0.2834002849242074,37.333333333333336
stroma cells,PRSS8,0.08574897683844056,0.020318342210301075,0.027893572062200767,1.8167525441539691,0.03654970760233918,0.025327510917030567,37,0.3208103479825944,0.8666666666666666,0.8722222222222223,9,0.0029126289780854967,68,0.00022371426777293983,0.5987381607206596,0.19242072738526608,0.26379420079123284,38.0
stroma cells,AGRN,0.6355163432042299,0.0020516429338644205,0.11017542675067742,2.1459972557995357,0.1440058479532164,0.07598253275109171,12,0.27752455935216463,0.8166666666666667,0.95,31,0.002191143269931052,85,0.13989773256677784,0.4950531379112123,0.1447562957650033,0.25990238874766447,42.666666666666664
stroma cells,PCSK1N,0.5490213183728705,0.027143405346300983,0.2085251908612928,1.6809153509869692,0.22880116959064328,0.13624454148471615,15,0.29448765233139756,0.85,0.9333333333333333,20,0.0011999999999999997,120,0.11792278748968142,0.535685842965686,0.07927713230886536,0.24429525425474427,51.666666666666664
stroma cells,SPON2,0.23988779782778036,0.04052046357947665,0.09488402247437504,1.8158261377102032,0.07748538011695906,0.01921397379912664,27,0.2841986284363716,0.825,0.7666666666666666,26,0.0024555802826918592,80,0.039384257109320184,0.5110399323562915,0.16222613580500297,0.23755010842353821,44.333333333333336
stroma cells,SAMD9L,0.21279911391233322,0.008504026675094941,0.0541314605566836,1.8987639348314673,0.0577485380116959,0.034934497816593885,32,0.29305299504350474,0.8416666666666666,0.8722222222222221,21,0.0019895359432456658,94,0.03250210010186932,0.532249323074852,0.13143725350494162,0.23206289222722096,49.0
stroma cells,SLC39A10,0.21694930784467673,0.03773499085337319,0.09206007977729984,1.6557851170838889,0.10599415204678363,0.07685589519650655,30,0.3070318883169657,0.8666666666666666,0.9444444444444444,13,0.0013359972653238174,114,0.03355649928726018,0.565733797165979,0.08826169330613216,0.22918399658645713,52.333333333333336
stroma cells,BOK,0.12557311772198598,0.03773499085337319,0.05109300232565436,1.7268408202326109,0.0533625730994152,0.01572052401746725,35,0.2917568545278119,0.8416666666666666,0.8805555555555555,22,0.0019075717366849555,98,0.010341444280160608,0.5291446006431718,0.12602234746485444,0.22183613079606226,51.666666666666664
stroma cells,ABHD10,0.15531034346477454,0.033413501553149844,0.0578655527234152,1.8183227142360403,0.06944444444444445,0.04017467248908297,34,0.3035067697283815,0.8666666666666666,0.9166666666666666,17,0.0009960701550105532,143,0.017896490408155653,0.557289871045469,0.06580465455640305,0.21366367200334258,64.66666666666667
stroma cells,GLS,0.8110658055921254,0.015851750150396225,0.2338260803377038,1.9271222629574922,0.27997076023391815,0.1851528384279476,6,0.22393885399360391,0.7583333333333333,0.8722222222222221,82,0.001326338158064738,115,0.1844978676821698,0.36669611224166454,0.0876235713693292,0.21293918376438783,67.66666666666667
stroma cells,COL3A1,0.7840047172896041,0.03773499085337319,0.33668823782886137,1.6360922364802928,0.31505847953216376,0.15109170305676856,7,0.24117605923567076,0.7916666666666666,0.8222222222222222,65,0.0003252161968466301,182,0.17762272162222253,0.407985414695043,0.021485172888663587,0.2023644364019764,84.66666666666667
stroma cells,OGT,0.27853710398983517,0.03773499085337319,0.1241585289958726,1.576244375792002,0.1608187134502924,0.13449781659388646,22,0.2867482161126309,0.85,0.8666666666666666,24,0.000543750365903636,169,0.0492035083533653,0.5171471112880343,0.03592247475061376,0.2007576981306711,71.66666666666667
