cell_class,gene,diff_mean_log_expr,direction,cohen_d,adj_p_value,rank_score,pct_expr_case,pct_expr_control,random_forest_importance,knn_permutation_importance_mean,knn_permutation_importance_std,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score,traditional_score_scaled,rf_score_scaled,knn_score_scaled,combined_ml_biomarker_score
stroma cells,MT1E,-1.2380395274745757,down_in_CKD,-3.6302976414801877,1.679660697732451e-07,30.448916349648943,0.49488304093567254,0.840174672489083,0.04323278907218819,0.0,0.0,0.9714285714285715,0.975,1.0,0.475,0.9386576709815632,1.0,0.95,0.9677315341963126
stroma cells,FKBP5,-0.8954845788636254,down_in_CKD,-4.549454790140424,1.066758188768324e-07,28.403426360659108,0.12207602339181287,0.6296943231441048,0.037,0.0,0.0,0.9714285714285715,0.975,0.975,0.475,0.8756007514172175,0.855831899677327,0.95,0.8974529101543743
stroma cells,CEBPD,-1.429823450302449,down_in_CKD,-2.8371085832371343,8.747701074166863e-05,16.461968531510664,0.20760233918128654,0.7615720524017467,0.04114193548387097,0.0,0.0,0.9666666666666666,0.9666666666666666,1.0,0.46666666666666656,0.507477930055719,0.9516373189611708,0.9333333333333331,0.8554838469289455
stroma cells,RGCC,-1.1334708807323328,down_in_CKD,-4.104884784220215,1.066758188768324e-07,32.438787100954734,0.1652046783625731,0.6541484716157205,0.025222910216718266,0.0,0.0,0.9714285714285715,0.975,1.0,0.475,1.0,0.5834208423287744,0.95,0.8133683369315099
stroma cells,KLF9,-0.6583414937476386,down_in_CKD,-3.5406136649423376,8.277171205660427e-07,14.177009024625908,0.18128654970760233,0.5825327510917031,0.032107826086956524,0.0,0.0,1.0,1.0,1.0,0.5,0.43703881345824586,0.7426730214732227,1.0,0.7844769712809383
stroma cells,MT1A,-0.6564891386362726,down_in_CKD,-1.4460945835488455,0.05818355118501648,1.1726312095381568,0.03216374269005848,0.3554585152838428,0.0382,0.0,0.0,1.0,1.0,1.0,0.5,0.03614904607526599,0.8835886099371322,1.0,0.7606652531899062
stroma cells,MT1M,-1.2225687038510353,down_in_CKD,-2.5238290673886072,0.00018104019134062004,11.546838933165962,0.23684210526315788,0.719650655021834,0.031,0.0,0.0,1.0,1.0,1.0,0.5,0.35595778896511565,0.717048348378301,1.0,0.7580108971443436
stroma cells,BTG2,-0.8516461396701211,down_in_CKD,-2.4226000408454627,0.0007443165666765275,6.454183201676562,0.09941520467836257,0.5441048034934498,0.034,0.0,0.0,0.9666666666666666,0.9666666666666666,1.0,0.46666666666666656,0.19896499772294518,0.786440124027814,0.9333333333333331,0.727702382489048
stroma cells,TIPARP,-0.5001336088174771,down_in_CKD,-4.14598891537531,4.6479843364620357e-07,13.131233230170073,0.04532163742690058,0.3720524017467249,0.028,0.0,0.0,0.9666666666666668,0.9666666666666666,1.0,0.46666666666666656,0.4048003764537669,0.6476565727287881,0.9333333333333331,0.7133560377156019
stroma cells,MT2A,-1.524074510232897,down_in_CKD,-3.1263242530074757,1.987304676279666e-06,27.167350739454346,0.8070175438596491,0.9641921397379912,0.019861297539149888,0.0,0.0,0.9380952380952381,0.9416666666666667,1.0,0.44166666666666665,0.8374958858635858,0.4594035676483046,0.8833333333333333,0.7045939375653725
stroma cells,CEBPB,-0.8856784593768133,down_in_CKD,-3.317027897909928,6.959022050512385e-07,18.089485984937237,0.23391812865497075,0.6882096069868996,0.0158925,0.0,0.0,0.9380952380952381,0.9416666666666667,0.9666666666666666,0.44166666666666665,0.5576498877297675,0.36760293150329515,0.8833333333333333,0.6119044834806049
stroma cells,PDK4,-0.7767929393684786,down_in_CKD,-2.3922528433160952,0.0006033617862950005,5.982604360878083,0.09429824561403509,0.4733624454148472,0.02661574601096915,0.0,0.0,0.9095238095238095,0.9,1.0,0.4,0.18442749854546825,0.6156379586458639,0.8,0.6031406831674392
stroma cells,NR4A1,-0.9644081474022417,down_in_CKD,-2.3223942747358026,0.0008827325838993725,6.840536263379763,0.07309941520467836,0.5834061135371179,0.01854544494983741,0.0,0.0,0.9714285714285715,0.9666666666666666,1.0,0.46666666666666656,0.21087521682271632,0.42896711842650387,0.9333333333333331,0.5870952240684781
