cell_class,gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,direction,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_patients,n_control_patients,passes_expression_filter,rank_score
epithelial cells,KMT2E-AS1,0.12137321462525713,0.15576045637970395,-0.03438724175444682,down_in_CKD,-0.6611433617326492,-1.963545241851333,0.05907134743371154,0.30919897837973237,0.09848069738480697,0.17256610023924912,-0.07408540285444215,15,18,True,0.01158938522426198
epithelial cells,YBX1,1.101512098638655,1.1750888897567027,-0.0735767911180476,down_in_CKD,-0.5279654396608386,-1.475598994612604,0.15197737227400218,0.5034683251961048,0.6160896637608967,0.7297098337525305,-0.11362016999163382,15,18,True,0.011577190604494123
epithelial cells,DEDD,0.06497387963373566,0.05162923560330272,0.013344644030432937,up_in_CKD,0.978552976636588,2.732319112265979,0.011154547294847418,0.1298620451155235,0.05589041095890411,0.061223237838169436,-0.005332826879265326,15,18,True,0.011576540012718038
epithelial cells,VWA5A,0.07798543066952486,0.06037181395342886,0.017613616716096,up_in_CKD,0.9069678345776176,2.464149183564106,0.022605252521171557,0.1885296364113903,0.0712826899128269,0.07263358076191645,-0.001350890849089556,15,18,True,0.01157579868112899
epithelial cells,SELENOH,0.5783722480192314,0.4412039763663864,0.13716827165284495,up_in_CKD,0.38993022601305627,1.1308037521248637,0.2668247106831396,0.6078803312933655,0.3223661270236613,0.28163916324151894,0.040726963782142356,15,18,True,0.011562717484966761
epithelial cells,NAT14,0.14300938375104533,0.096424714430558,0.046584669320487326,up_in_CKD,0.6540843813144847,1.7172186073485476,0.10635227915180276,0.41758239689781645,0.11673723536737235,0.11299920250291393,0.0037380328644584238,15,18,True,0.01155610121678345
epithelial cells,MTHFS,0.2828657046980427,0.3559475296601026,-0.07308182496205995,down_in_CKD,-0.5244782449641194,-1.4797337979262826,0.150142902768267,0.4996158565539518,0.20976338729763389,0.31912152628673085,-0.10935813898909696,15,18,True,0.011551221895676185
epithelial cells,NAGPA,0.0524846757197569,0.037291279873524236,0.015193395846232666,up_in_CKD,0.9641702438219925,2.601877005861572,0.01731720848353018,0.16311267865559773,0.047297633872976336,0.04582540948408073,0.0014722243888956044,15,18,True,0.011536283282495357
epithelial cells,NUP155,0.07590173199420931,0.05838495966392154,0.01751677233028777,up_in_CKD,0.9227738601905111,2.4688845096303598,0.023827148168042617,0.1933978271382273,0.07145703611457035,0.07294031041040427,-0.0014832742958339196,15,18,True,0.01153381049364343
epithelial cells,NT5C3B,0.17776477245824426,0.2078731067094851,-0.030108334251240848,down_in_CKD,-0.7083455604160509,-2.0269813168623023,0.05163680889396589,0.28796450447232547,0.15429638854296387,0.2242193730445985,-0.06992298450163462,15,18,True,0.011530734749148579
epithelial cells,ADAT2,0.035527855540652506,0.025145117088472693,0.010382738452179813,up_in_CKD,1.07123941286706,2.9997083058265614,0.005811645360212852,0.09213159895540511,0.032004981320049815,0.03324949389607999,-0.0012445125760301781,15,18,True,0.011518260288414362
epithelial cells,PANK3,0.2100002652775093,0.1687985292294758,0.04120173604803351,up_in_CKD,0.6700973783126664,1.7960200408155615,0.08907269011445845,0.3826621167656218,0.1748692403486924,0.19446659714127967,-0.019597356792587284,15,18,True,0.01151812083668018
epithelial cells,C12orf49,0.17772220683828213,0.1460824168679083,0.03163978997037384,up_in_CKD,0.7053103974531302,1.983389914026777,0.05745344724909827,0.3049490157452854,0.141892901618929,0.1669222747070732,-0.02502937308814418,15,18,True,0.011509919416192182
epithelial cells,KCTD5,0.032782358782448576,0.045344641310349904,-0.012562282527901328,down_in_CKD,-0.9582808589166262,-2.832634249080774,0.008158015922838643,0.1106732406284665,0.031656288916562886,0.05907613029875468,-0.027419841382191792,15,18,True,0.011508001166710123
