condition.l1,n_immune_cells,n_SPP1_positive,fraction_SPP1_positive,mean_SPP1_expression
AKI,8819,1570,0.17802471935593606,0.3939147131440508
CKD,6884,1043,0.15151074956420685,0.34763838242326056
Ref,1473,88,0.05974202308214528,0.13346330289995909
