cell_class,model,metric,mean,std,fold_values
epithelial cells,RandomForest,accuracy,0.9714285714285715,0.063887656499994,1.0000;1.0000;0.8571;1.0000;1.0000
epithelial cells,RandomForest,balanced_accuracy,0.9666666666666666,0.07453559924999302,1.0000;1.0000;0.8333;1.0000;1.0000
epithelial cells,RandomForest,f1,0.96,0.08944271909999157,1.0000;1.0000;0.8000;1.0000;1.0000
epithelial cells,RandomForest,roc_auc,1.0,0.0,1.0000;1.0000;1.0000;1.0000;1.0000
epithelial cells,KNN,accuracy,0.9428571428571428,0.12777531299998798,1.0000;1.0000;0.7143;1.0000;1.0000
epithelial cells,KNN,balanced_accuracy,0.9333333333333332,0.149071198499986,1.0000;1.0000;0.6667;1.0000;1.0000
epithelial cells,KNN,f1,0.9,0.22360679774997896,1.0000;1.0000;0.5000;1.0000;1.0000
epithelial cells,KNN,roc_auc,0.9666666666666666,0.07453559924999302,1.0000;1.0000;0.8333;1.0000;1.0000
