gene,knn_permutation_importance_mean,knn_permutation_importance_std
SENP1,0.0,0.0
SERINC2,0.0,0.0
SERPINA1,0.0,0.0
SESN1,0.0,0.0
SESN3,0.0,0.0
SFTA2,0.0,0.0
SLC16A4,0.0,0.0
SLC19A2,0.0,0.0
SLC25A25-AS1,0.0,0.0
SLC25A4,0.0,0.0
SLC35A1,0.0,0.0
SLC39A10,0.0,0.0
SLC3A1,0.0,0.0
SLC40A1,0.0,0.0
SLC44A3,0.0,0.0
SLC44A4,0.0,0.0
SLC6A17,0.0,0.0
SLC7A8,0.0,0.0
SLFN11,0.0,0.0
SMIM24,0.0,0.0
SNRK,0.0,0.0
SOX12,0.0,0.0
SOX13,0.0,0.0
SOX4,0.0,0.0
SPAG17,0.0,0.0
SPINT2,0.0,0.0
SPON2,0.0,0.0
SPP1,0.0,0.0
SPRY2,0.0,0.0
SRGN,0.0,0.0
SRL,0.0,0.0
SRSF6,0.0,0.0
STARD4-AS1,0.0,0.0
STAT1,0.0,0.0
SYNM,0.0,0.0
TBC1D1,0.0,0.0
TIPARP,0.0,0.0
TJP1,0.0,0.0
TM4SF1,0.0,0.0
TMEM116,0.0,0.0
TMEM139,0.0,0.0
TMEM176A,0.0,0.0
TMEM181,0.0,0.0
TMEM191C,0.0,0.0
TMEM204,0.0,0.0
TMSB10,0.0,0.0
TNFRSF11B,0.0,0.0
TNFSF10,0.0,0.0
TOB1,0.0,0.0
TOB2,0.0,0.0
TPD52L1,0.0,0.0
TPM1,0.0,0.0
TSC22D1,0.0,0.0
TSC22D3,0.0,0.0
TSPYL2,0.0,0.0
UHMK1,0.0,0.0
UNC45B,0.0,0.0
USP2,0.0,0.0
WDR72,0.0,0.0
WFDC1,0.0,0.0
WFDC2,0.0,0.0
XBP1,0.0,0.0
ZBTB16,0.0,0.0
ZEB2,0.0,0.0
ZFAND5,0.0,0.0
ZFP36,0.0,0.0
ZNF331,0.0,0.0
ZNF703,0.0,0.0
PPP3R1,0.0,0.0
NHLRC4,0.0,0.0
ITPRIPL2,0.0,0.0
