gene,knn_permutation_importance_mean,knn_permutation_importance_std
SLC31A2,0.0,0.0
SLC38A9,0.0,0.0
SLC3A2,0.0,0.0
SLC45A4,0.0,0.0
SLFN5,0.0,0.0
SOCS2,0.0,0.0
SPATA6L,0.0,0.0
SPRY1,0.0,0.0
STAT1,0.0,0.0
STAT2,0.0,0.0
STK10,0.0,0.0
STK36,0.0,0.0
STK40,0.0,0.0
STOX2,0.0,0.0
SYT11,0.0,0.0
SYT16,0.0,0.0
TBL1XR1,0.0,0.0
TBX19,0.0,0.0
TCEAL2,0.0,0.0
TFAP4,0.0,0.0
TFPI,0.0,0.0
TGM7,0.0,0.0
TIPARP,0.0,0.0
TM4SF18,0.0,0.0
TMEM139,0.0,0.0
TMEM159,0.0,0.0
TMEM63A,0.0,0.0
TNFAIP8,0.0,0.0
TNFRSF11B,0.0,0.0
TNFSF10,0.0,0.0
TOB2,0.0,0.0
TP53,0.0,0.0
TP53INP2,0.0,0.0
TPBG,0.0,0.0
TRDMT1,0.0,0.0
TRIM22,0.0,0.0
TRIM27,0.0,0.0
TSC22D3,0.0,0.0
TSPYL2,0.0,0.0
TTC30B,0.0,0.0
UBALD1,0.0,0.0
UBE2B,0.0,0.0
UBE2Q2,0.0,0.0
UQCRB,0.0,0.0
UQCRH,0.0,0.0
USP2,0.0,0.0
USP36,0.0,0.0
VANGL1,0.0,0.0
VIM-AS1,0.0,0.0
VPS37B,0.0,0.0
VWDE,0.0,0.0
WASF1,0.0,0.0
WDR19,0.0,0.0
WDR5B,0.0,0.0
WFDC2,0.0,0.0
XRCC4,0.0,0.0
YPEL2,0.0,0.0
YRDC,0.0,0.0
ZBTB16,0.0,0.0
ZFAND5,0.0,0.0
ZFP36,0.0,0.0
ZFP64,0.0,0.0
ZNF300,0.0,0.0
ZNF331,0.0,0.0
ZNF462,0.0,0.0
ZNF608,0.0,0.0
ZNF672,0.0,0.0
ZNF662,0.0,0.0
FLCN,0.0,0.0
LIMD2,0.0,0.0
ZNF799,0.0,0.0
MT-CYB,0.0,0.0
