cell_class,gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,direction,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_patients,n_control_patients,passes_expression_filter,rank_score
immune cells,SYNE1,0.1782371677776237,0.18914458681312807,-0.010907419035504379,down_in_CKD,-0.13042602064091563,-0.36520833456163815,0.7177143168845866,1.0,0.10311227457824317,0.11744738628649015,-0.014335111708246986,14,18,True,-0.0
immune cells,SYNJ1,0.0457170118442402,0.048569590549062076,-0.002852578704821876,down_in_CKD,-0.07724588407968552,-0.23547135862087426,0.8157389700975621,1.0,0.03228621291448516,0.027834351663272233,0.00445186125121293,14,18,True,-0.0
immune cells,SYNRG,0.18685871356842748,0.20538612939438533,-0.01852741582595785,down_in_CKD,-0.25248757631851465,-0.7084138143821532,0.48452973865736754,1.0,0.11780104712041885,0.13238289205702647,-0.014581844936607621,14,18,True,-0.0
immune cells,SYTL1,0.24215522724331842,0.2505507473981718,-0.00839552015485337,down_in_CKD,-0.10458181499439345,-0.2992290807461016,0.7668527179782676,1.0,0.1447062245491565,0.15546503733876443,-0.010758812789607941,14,18,True,-0.0
immune cells,TADA2B,0.0417523919596517,0.041819536827401964,-6.714486775026562e-05,down_in_CKD,-0.0028161661836987434,-0.008597573587230213,0.9932083446189999,1.0,0.027341477603257707,0.031907671418873046,-0.004566193815615339,14,18,True,-0.0
immune cells,TAF1,0.07108353425227584,0.07701543573767625,-0.005931901485400404,down_in_CKD,-0.1398492477347456,-0.4305609735842007,0.6706992993201453,1.0,0.048283885980221056,0.048879837067209775,-0.0005959510869887191,14,18,True,-0.0
immune cells,TAF8,0.05171482837519703,0.05666582508189934,-0.004950996706702307,down_in_CKD,-0.18260791421188383,-0.5501360369799199,0.5867286973759743,1.0,0.033595113438045374,0.041412084181941616,-0.007816970743896243,14,18,True,-0.0
immune cells,TAOK3,0.31492903204922573,0.33167813809490837,-0.016749106045682638,down_in_CKD,-0.2190674757535781,-0.598512130066857,0.5549392814465577,1.0,0.19706224549156487,0.21792260692464357,-0.020860361433078706,14,18,True,-0.0
immune cells,TAPBPL,0.07747929169841535,0.08354245337782257,-0.006063161679407222,down_in_CKD,-0.1316773073176291,-0.3883615335228669,0.7005455347960841,1.0,0.05017452006980803,0.05770536320434488,-0.007530843134536849,14,18,True,-0.0
immune cells,TAZ,0.13440586895309672,0.14886976924066236,-0.01446390028756564,down_in_CKD,-0.24911650758640771,-0.7371581113758648,0.46691626811968334,1.0,0.0824607329842932,0.0943652410047522,-0.011904508020459004,14,18,True,-0.0
immune cells,TBC1D1,0.11153233757693055,0.11953083677456543,-0.007998499197634873,down_in_CKD,-0.22910295845858597,-0.6696113562518571,0.5082485859199758,1.0,0.07737056428155904,0.0923285811269518,-0.01495801684539276,14,18,True,-0.0
immune cells,TBC1D22A,0.09448905195536896,0.0964085351079574,-0.0019194831525884415,down_in_CKD,-0.04149522501571817,-0.12856766683932896,0.8988461435957812,1.0,0.056573589296102386,0.06381534283774609,-0.007241753541643706,14,18,True,-0.0
immune cells,TBC1D2B,0.07235318220632551,0.08000955758475911,-0.007656375378433597,down_in_CKD,-0.2478378252047797,-0.7122055155554198,0.4818697577765881,1.0,0.04653868528214078,0.051595383570943655,-0.005056698288802876,14,18,True,-0.0
immune cells,TBC1D9B,0.07014602018242355,0.07211616145574745,-0.0019701412733239,down_in_CKD,-0.040629567119867455,-0.12800464743228465,0.8994647089489095,1.0,0.0491564863292612,0.048200950441276307,0.0009555358879848944,14,18,True,-0.0
