cell_class,gene,diff_mean_log_expr,direction,cohen_d,adj_p_value,rank_score,pct_expr_case,pct_expr_control,random_forest_importance,knn_permutation_importance_mean,knn_permutation_importance_std,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score,traditional_score_scaled,rf_score_scaled,knn_score_scaled,combined_ml_biomarker_score
immune cells,CXCR4,-1.2715463676944965,down_in_CKD,-4.072365703957655,1.273217124622594e-08,40.88240838317152,0.2879581151832461,0.7807196198234895,0.03420088388911209,0.0,0.0,0.9666666666666666,0.9666666666666666,1.0,0.46666666666666656,0.9382129333919932,1.0,0.9230769230769228,0.9568733559091678
immune cells,SRGN,-1.1719727598299872,down_in_CKD,-4.61694907307568,8.84935892551343e-09,43.57476530979616,0.5104712041884817,0.8418194161575017,0.024105960264900663,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.7048344230826981,1.0,0.8819337692330793
immune cells,METRNL,-0.4484607719840557,down_in_CKD,-3.5900863220720067,2.5076405468587534e-07,10.627267934080583,0.1602675974403723,0.3822131704005431,0.032,0.0,0.0,0.9714285714285715,0.9666666666666666,1.0,0.46666666666666656,0.24388583297065833,0.9356483330592299,0.9230769230769228,0.7922672690485928
immune cells,TSC22D3,-1.1713354488201158,down_in_CKD,-4.098565833836412,1.273217124622594e-08,37.902748297488365,0.3641652123327516,0.7949762389680923,0.017105219552609775,0.0,0.0,1.0,1.0,1.0,0.5,0.8698325287128361,0.5001396925316088,1.0,0.7740223827552108
immune cells,SH3BP5,-0.20130375240259354,down_in_CKD,-2.199524152910558,0.0008712879509724356,1.3548121444229506,0.07693426410703898,0.19212491513917176,0.03,0.0,0.0,1.0,1.0,1.0,0.5,0.031091668188936213,0.877170312243028,1.0,0.7570864585349985
immune cells,DDIT4,-0.7975194457543224,down_in_CKD,-3.3471675936170797,3.130016992797699e-06,14.693759633225053,0.14485165794066318,0.5098438560760353,0.02410611205432937,0.0,0.0,1.0,1.0,1.0,0.5,0.33720800396191025,0.7048388612553839,1.0,0.7493771452945356
immune cells,PER1,-0.2095559300575422,down_in_CKD,-2.1502500728593477,0.0013308902891996813,1.2958547522070343,0.02254217568353694,0.15342837746096402,0.03,0.0,0.0,0.9666666666666666,0.9666666666666666,1.0,0.46666666666666656,0.029738651327072315,0.877170312243028,0.9230769230769228,0.7260466243933948
immune cells,FKBP5,-0.7310831368526622,down_in_CKD,-3.312111819345595,1.1948411169593065e-05,11.919944423464509,0.08551483420593368,0.4412763068567549,0.021,0.0,0.0,1.0,1.0,1.0,0.5,0.2735515461464747,0.6140192185701197,1.0,0.7003179966573428
immune cells,CLEC4E,-0.25187634547008453,down_in_CKD,-2.1106321010194264,0.00179811909605299,1.4593887477116378,0.02530541012216405,0.14867617107942974,0.025,0.0,0.0,1.0,1.0,1.0,0.5,0.03349160316380519,0.7309752602025235,1.0,0.6990884247137704
immune cells,ZBTB16,-0.11207968016757036,down_in_CKD,-1.852028970199618,0.007812527600055203,0.437403400382388,0.009307737056428156,0.08078750848608282,0.025,0.0,0.0,1.0,1.0,1.0,0.5,0.010037997847438874,0.7309752602025235,1.0,0.6943977036504972
