cell_class,gene,diff_mean_log_expr,direction,cohen_d,adj_p_value,rank_score,pct_expr_case,pct_expr_control,random_forest_importance,knn_permutation_importance_mean,knn_permutation_importance_std,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score,traditional_score_scaled,rf_score_scaled,knn_score_scaled,combined_ml_biomarker_score
endothelial cells,ZNF503,0.21026566301437494,up_in_CKD,2.4241110582185583,0.00026145809188429054,1.8260763766535577,0.2228483606557377,0.12051282051282051,0.008680994095533037,0.0,0.0,0.9666666666666666,0.9666666666666666,0.9555555555555555,0.46666666666666656,0.02163586959219595,0.26306042713736477,0.9322033898305083,0.4824327007055884
endothelial cells,LPAR6,0.3061142921615708,up_in_CKD,2.4210553418147778,0.0038851195354386355,1.786539759411853,0.2989241803278688,0.18095238095238095,0.006999999999999998,0.0,0.0,0.9428571428571428,0.9416666666666667,0.9583333333333333,0.44166666666666665,0.021167428564375583,0.21212121212121207,0.8813559322033898,0.4416243434427159
endothelial cells,LRRC8C,0.11934804964576487,up_in_CKD,1.8737869102122193,0.00922940473866151,0.45505393169275665,0.18468237704918034,0.1413919413919414,0.0020000000000000005,0.0,0.0,0.9380952380952381,0.925,1.0,0.42500000000000004,0.005391607738534591,0.060606060606060615,0.8474576271186441,0.36430379663758883
endothelial cells,SFT2D2,0.1524428132219039,up_in_CKD,2.0514112596918217,0.00473770737985152,0.7269030510399422,0.19518442622950818,0.12124542124542124,0.005133333333333333,0.0,0.0,0.8714285714285716,0.8583333333333332,0.8708333333333332,0.35833333333333317,0.008612553023270013,0.15555555555555553,0.7118644067796607,0.34869049553874054
endothelial cells,SOX18,0.7419416481751089,up_in_CKD,2.32847468420576,0.002442449305373376,4.512772568905885,0.7061987704918032,0.5241758241758242,0.0038938879456706307,0.0,0.0,0.8476190476190476,0.8499999999999999,0.9777777777777779,0.34999999999999987,0.05346860626882237,0.11799660441426153,0.6949152542372878,0.33585846471438424
endothelial cells,SOX4,0.18313510470740288,up_in_CKD,2.118496802170285,0.008927025032773322,0.7950666244504302,0.23770491803278687,0.1380952380952381,0.0021048503611971105,0.0,0.0,0.8761904761904763,0.8833333333333332,0.9416666666666667,0.3833333333333332,0.009420174327670243,0.06378334427870032,0.7627118644067794,0.33248211833972596
endothelial cells,ZNF436,0.06327094669637384,up_in_CKD,1.6904119663028228,0.076792297704862,0.11921969619247702,0.04456967213114754,0.01868131868131868,0.006008361835464638,0.0,0.0,0.8190476190476191,0.825,0.9361111111111111,0.32499999999999996,0.001412548693263677,0.18207157077165567,0.6440677966101694,0.3307382566913828
endothelial cells,CISD1,0.0601472217296581,up_in_CKD,2.094266725926141,0.0028150318228056317,0.3212741137354377,0.11910860655737705,0.08791208791208792,0.001,0.0,0.0,0.8761904761904763,0.8916666666666666,0.9666666666666666,0.3916666666666666,0.003806546602868084,0.030303030303030304,0.7796610169491525,0.32474692822144674
endothelial cells,FOXP1,0.3023126853387031,up_in_CKD,2.220135677743345,0.003481961585611714,1.649866732164462,0.2973872950819672,0.17655677655677657,0.004416470734456606,0.0,0.0,0.819047619047619,0.8333333333333333,0.95,0.33333333333333326,0.019548087866417357,0.13383244649868503,0.6610169491525423,0.32184937583377443
endothelial cells,DYRK2,0.06736965317583132,up_in_CKD,1.8615394213339271,0.023492805280672022,0.20430311789053265,0.06582991803278689,0.027106227106227107,0.0,0.0,0.0,0.9047619047619048,0.9,0.875,0.4,0.002420641147583945,0.0,0.7966101694915255,0.319128196026127
endothelial cells,CALHM2,0.0826636516550318,up_in_CKD,1.9988669571618944,0.005177167377818294,0.37770886974793894,0.07914959016393443,0.039194139194139194,0.004078191043837845,0.0,0.0,0.8142857142857143,0.8333333333333333,0.9333333333333332,0.33333333333333326,0.004475201560111159,0.12358154678296498,0.6610169491525423,0.3147344386862252
endothelial cells,MAL2,0.021195118914370037,up_in_CKD,1.5973227821206673,0.06577926379138481,0.0,0.025870901639344263,0.009157509157509158,0.0018925000000000005,0.0,0.0,0.8476190476190476,0.8666666666666666,0.9333333333333332,0.3666666666666666,0.0,0.057348484848484864,0.7288135593220337,0.31446481766820744
endothelial cells,CD36,0.2055466147634837,up_in_CKD,1.4811226989994724,0.1573487750506104,0.24450672146088212,0.12704918032786885,0.010622710622710623,0.0011333333333333338,0.0,0.0,0.880952380952381,0.875,0.8694444444444445,0.375,0.00289698481814743,0.034343434343434356,0.7457627118644068,0.31262185544676596
endothelial cells,SLC16A7,0.04798744689749987,up_in_CKD,1.7858146848145382,0.043922373400238024,0.11631733066566184,0.052510245901639344,0.019413919413919414,0.0031317128504294274,0.0,0.0,0.8428571428571427,0.8416666666666666,0.7999999999999999,0.34166666666666656,0.0013781606452883037,0.09490038940695235,0.6779661016949151,0.30942222856980467
endothelial cells,KIF12,0.03320552381353905,up_in_CKD,2.1096780475483716,0.014214520155470025,0.1294065856313002,0.031762295081967214,0.00695970695970696,0.003105263157894736,0.0,0.0,0.8428571428571429,0.8416666666666666,0.8722222222222221,0.34166666666666656,0.0015332458416778098,0.09409888357256775,0.6779661016949151,0.3091326432753287
endothelial cells,RUNX1T1,0.14190530141981011,up_in_CKD,1.7722143255933278,0.012335427516867952,0.4800491541036608,0.21875,0.1575091575091575,0.005639574198731093,0.0,0.0,0.819047619047619,0.8,0.875,0.30000000000000004,0.00568775820596537,0.17089618784033614,0.5932203389830509,0.3067841623705479
endothelial cells,LBR,0.1036594507364191,up_in_CKD,1.9674660830667026,0.007353428583573832,0.4351218227302785,0.140625,0.10329670329670329,0.001999151103565365,0.0,0.0,0.8476190476190476,0.8499999999999999,0.9166666666666666,0.34999999999999987,0.005155446471830118,0.060580336471677716,0.6949152542372878,0.30322932557795224
