gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_groups,n_control_groups,passes_expression_filter,direction,rank_score,diff_mean_log_expr_CKD_vs_AKI,adj_p_value_CKD_vs_AKI,pct_expr_CKD,pct_expr_AKI,ckd_specificity_score,combined_biomarker_score
AC092647.5,5.771438203573001e-05,0.0,5.771438203573001e-05,0.5518844776435566,1.4364052364173123,0.17285600360009432,0.5101152813329056,7.646136789387162e-05,0.0,7.646136789387162e-05,15,18,False,up_in_case,0.0,5.771438203573001e-05,0.9725079514753338,7.646136789387162e-05,0.0,0.012106839084267055,0.0
AC092809.4,0.0003641557978047615,8.405859570668591e-05,0.00028009720209807556,0.5496804236420405,1.4950493368038007,0.1498800987592745,0.5101152813329056,0.0003631914974958902,9.237875288683603e-05,0.00027081274460905415,15,18,False,up_in_case,0.0,-0.0003746367754064951,0.9725079514753338,0.0003631914974958902,0.0008385275456298739,0.0,0.0
AC092834.1,0.0003244429069582663,0.0,0.0003244429069582663,0.5542970862476406,1.4426846006189085,0.17110823079129064,0.5101152813329056,0.0002867301296020186,0.0,0.0002867301296020186,15,18,False,up_in_case,0.0,0.0003244429069582663,0.9725079514753338,0.0002867301296020186,0.0,0.012106839084267055,0.0
AC092954.1,0.00016188942910386756,0.0,0.00016188942910386756,0.5575272739558318,1.4510919009265162,0.1687911895715049,0.5101152813329056,0.00017203807776121116,0.0,0.00017203807776121116,15,18,False,up_in_case,0.0,5.796335378040448e-05,1.0,0.00017203807776121116,5.5901836375324926e-05,-0.0,0.0
AC093495.1,0.0016752016294066213,0.0007725607517161696,0.0009026408776904517,0.5245477192019875,1.4872491832622539,0.14784398540395857,0.5101152813329056,0.0012233818863019458,0.0007390300230946883,0.00048435186320725757,15,18,False,up_in_case,0.0,-2.9591799877014052e-05,1.0,0.0012233818863019458,0.0013695949911954608,0.0,0.0
AC093690.1,0.0016132170300240884,0.0,0.0016132170300240884,0.5634962738615709,1.466627584693864,0.16457831717250154,0.5101152813329056,0.0020835722751080016,0.0,0.0020835722751080016,15,18,False,up_in_case,0.0,0.0008565116427232525,1.0,0.0020835722751080016,0.00036336193643961203,-0.0,0.0
AC096564.1,0.0004402294477987055,0.00011754061773756633,0.0003226888300611392,0.5331016491158925,1.442019822659369,0.1648950317139567,0.5101152813329056,0.0005352295752571013,0.00013856812933025404,0.0003966614459268473,15,18,False,up_in_case,0.0,4.50152414343458e-05,1.0,0.0005352295752571013,0.0004472146910025994,-0.0,0.0
AC096577.1,0.007084615031191982,0.0037750436925060495,0.0033095713386859325,0.5234863493431182,1.4142091661501528,0.17297859462518167,0.5101152813329056,0.0037083763428527737,0.003140877598152425,0.0005674987447003487,15,18,False,up_in_case,0.0,-0.0009280116659268287,1.0,0.0037083763428527737,0.005729938228470805,0.0,0.0
AC097059.1,0.002978463984012399,0.0016279756099638878,0.0013504883740485113,0.5327494618710683,1.4683636920373877,0.1553023102547465,0.5101152813329056,0.001835072829452919,0.0017551963048498846,7.98765246030344e-05,15,18,False,up_in_case,0.0,-0.0015036060057923503,0.9725079514753338,0.001835072829452919,0.00408083405539872,0.0,0.0
AC097358.2,0.0015895822835929989,0.0008054226288959792,0.0007841596546970197,0.5276990842387025,1.4722335093633074,0.15303492908387561,0.5101152813329056,0.0013571892801162212,0.0008775981524249423,0.0004795911276912789,15,18,False,up_in_case,0.0,-0.0003290324676838679,1.0,0.0013571892801162212,0.00192861335494871,0.0,0.0
AC097460.1,0.00029039970304063823,0.0,0.00029039970304063823,0.5752087101829381,1.4971118717951257,0.15656703145298706,0.5101152813329056,0.0003440761555224223,0.0,0.0003440761555224223,15,18,False,up_in_case,0.0,0.00020930507907501985,0.9725079514753338,0.0003440761555224223,8.385275456298739e-05,0.012106839084267055,0.0
AC097634.3,5.1134156877675843e-05,0.0,5.1134156877675843e-05,0.5624255459909737,1.4638407711805161,0.16532750165214485,0.5101152813329056,5.734602592040372e-05,0.0,5.734602592040372e-05,15,18,False,up_in_case,0.0,5.1134156877675843e-05,0.9725079514753338,5.734602592040372e-05,0.0,0.012106839084267055,0.0
AC097652.1,0.00010097816338451183,0.0,0.00010097816338451183,0.5631140457597593,1.4656327488737075,0.16484543468238538,0.5101152813329056,9.557670986733953e-05,0.0,9.557670986733953e-05,15,18,False,up_in_case,0.0,0.00010097816338451183,0.9725079514753338,9.557670986733953e-05,0.0,0.012106839084267055,0.0
AC098818.2,0.003362809510144978,0.0020467455291800635,0.0013160639809649145,0.5097849333072813,1.4398104983532078,0.1609712942078697,0.5101152813329056,0.0021982643269488093,0.0019399538106235567,0.0002583105163252526,15,18,False,up_in_case,0.0,0.0008288746666290929,0.9787877116861957,0.0021982643269488093,0.0022919752913883222,0.009311491690883265,0.0
AC099669.1,0.0011288539827493075,0.0005587037371887609,0.0005701502455605466,0.5187625818815194,1.4364355486940545,0.16360227178504155,0.5101152813329056,0.0008793057307795236,0.0006004618937644341,0.0002788438370150895,15,18,False,up_in_case,0.0,0.0004274527487224648,0.9725079514753338,0.0008793057307795236,0.0006428711183162367,0.012106839084267055,0.0
AC099778.1,0.00915319784030989,0.005828086499151258,0.0033251113411586312,0.519770703352444,1.4690591915204108,0.15287886445922164,0.5101152813329056,0.007512329395572887,0.004711316397228637,0.0028010129983442496,15,18,False,up_in_case,0.0,-0.0006232734106765871,1.0,0.007512329395572887,0.006456662101350029,0.0,0.0
AC103949.1,0.0001449025457853991,0.0008271211882322194,-0.0006822186424468203,-0.4549092785677577,-1.4214787342025863,0.17207899871155594,0.5101152813329056,0.00015292273578774323,0.0007852193995381062,-0.000632296663750363,15,18,False,down_in_case,0.0,0.0001449025457853991,0.9725079514753338,0.00015292273578774323,0.0,0.012106839084267055,0.0
AC104389.5,0.00039883639615891135,0.0,0.00039883639615891135,0.5584341945262039,1.4534523685770278,0.16814536233892946,0.5101152813329056,0.0004969988913101656,0.0,0.0004969988913101656,15,18,False,up_in_case,0.0,0.00015603455218783077,1.0,0.0004969988913101656,0.00013975459093831233,-0.0,0.0
