subclass.l1,marker_set,gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_groups,n_control_groups,passes_expression_filter,direction,rank_score
CNT,top_overall,IER3,0.6438486685012265,2.495430426672967,-1.8515817581717404,-4.79921918673336,-13.506956162735777,4.123481846360477e-11,1.528987068630465e-06,0.3906716417910448,0.9204651162790698,-0.529793474488025,12,15,True,down_in_case,51.67824086884373
CNT,top_overall,JUND,1.217547769684977,2.354953853278683,-1.1374060835937059,-3.584878883282805,-9.52692049800687,8.491513177040253e-10,1.5743265430232628e-05,0.6283582089552239,0.9586046511627907,-0.3302464422075668,12,15,True,down_in_case,19.583668417357845
CNT,top_overall,ARG2,0.26698516939319156,1.2359727780791094,-0.9689876086859179,-3.524433223710925,-10.075204084579882,2.243556139526158e-08,0.00011884437379089993,0.208955223880597,0.7293023255813953,-0.5203471017007983,12,15,True,down_in_case,13.404466569462187
CNT,top_overall,NR4A1,0.08755714560843542,1.33252322008882,-1.2449660744803845,-3.141898416784021,-9.07634576118665,2.3142725408888043e-07,0.00042906612908078434,0.07873134328358208,0.7841860465116279,-0.7054547032280458,12,15,True,down_in_case,13.172073204159247
CNT,top_overall,DUSP6,0.3021181108391805,1.0997791424593362,-0.7976610316201557,-3.3890657212160797,-9.378756171417892,4.859636556524875e-09,4.5048830878985595e-05,0.24813432835820895,0.7306976744186047,-0.48256334606039575,12,15,True,down_in_case,11.749508852102228
CNT,top_overall,CREM,0.20726356588363262,0.8680802834747342,-0.6608167175911016,-3.805510110587449,-10.71417924095984,2.040674860490451e-09,2.5222741275661974e-05,0.15186567164179104,0.627906976744186,-0.476041305102395,12,15,True,down_in_case,11.563318480719975
CNT,top_overall,RASD1,0.33161718365040865,1.4341831169917079,-1.1025659333412992,-2.7781387693086965,-7.6367583676468085,1.1277330917637462e-07,0.00027877562028399803,0.22835820895522388,0.7255813953488373,-0.4972231863936134,12,15,True,down_in_case,10.88847309713248
CNT,top_overall,EIF1,1.931253597797139,2.735284658954617,-0.8040310611574781,-3.1858128622396187,-8.244353647278993,1.897482765836224e-08,0.00011726443492867864,0.8440298507462687,0.9758139534883721,-0.1317841027421034,12,15,True,down_in_case,10.068800987898745
CNT,top_overall,PDK4,0.1654575801912509,0.9384841108569687,-0.7730265306657178,-3.3179239410771046,-9.419699094960308,3.1580599282838765e-08,0.00013011206904529573,0.09925373134328358,0.6293023255813953,-0.5300485942381117,12,15,True,down_in_case,9.966166253325339
CNT,top_overall,AQP3,0.8159442983801203,1.721478336748,-0.9055340383678797,-2.8813128026992443,-8.01985795316164,9.224322516612166e-08,0.00024993245268305285,0.47388059701492535,0.7148837209302326,-0.2410031239153072,12,15,True,down_in_case,9.39853752428959
